Village,Latitude,Longitude,Elevation_m,Population,Population_Source,Place_Type,Nearest_Facility_Name,Nearest_Facility_Type,Nearest_Facility_Latitude,Nearest_Facility_Longitude,Distance_Nearest_Facility_km,Nearest_Facility_Confidence,Dist_Zipline_km
Aboaso,6.9354518,-1.6853862,294.0,7337.0,WorldPop_2020,village/town/hamlet,Offinso Health Center,Hospital,6.9379419,-1.6748899,1.19,0.53,35.656007527461256
Abobiri,6.0434092,-0.548854,222.0,430.0,WorldPop_2020,village/town/hamlet,Suhum Hospital,Hospital,6.0380137,-0.4446668,11.54,0.63,20.9622125971913
Aboboi,5.5659577,-1.5835708,71.0,343.0,WorldPop_2020,village/town/hamlet,Methodist Hospital,Hospital,5.5552366,-1.5437239,4.57,0.91,120.80823233017776
Abodiem,6.5216884,-2.259754,180.0,446.0,WorldPop_2020,village/town/hamlet,DAKS Medical Center,Hospital,6.4566489,-2.3018646,8.6,0.53,45.049738289415274
Abodo,5.2553403,-1.3369095,60.0,3574.0,WorldPop_2020,village/town/hamlet,Hayford Dorothy,Pharmacy,5.2450265,-1.2480883,9.9,0.67,143.90745600179557
Abodom,5.53079,-0.8221508,79.0,7835.0,WorldPop_2020,village/town/hamlet,Drug Store,Pharmacy,5.5451393,-0.7027459,13.31,0.81,85.17234327487984
Abodom,5.5622123,-1.6024482,78.0,411.0,WorldPop_2020,village/town/hamlet,Unnamed Clinic,Clinic,5.5467418,-1.5469131,6.38,0.61,119.3253891518295
Abodom,6.391698,-1.058334,144.0,1090.0,WorldPop_2020,village/town/hamlet,Atta & Atta Pharmacy,Pharmacy,6.4675102,-0.8914768,20.27,0.53,70.88538830325183
Abodom,6.4236657,-1.8133936,178.0,1273.0,WorldPop_2020,village/town/hamlet,Eno Serwaah pharmacy,Pharmacy,6.2901832,-1.9712874,22.91,0.92,78.92133445931748
Abodom,6.4361731,-1.5336768,230.0,4261.0,WorldPop_2020,village/town/hamlet,Ahwenie Memorial Hospital,Hospital,6.4549977,-1.5704577,4.57,0.53,70.31535379045613
Aboduam,6.2116122,-2.4601301,283.0,2843.0,WorldPop_2020,village/town/hamlet,Green Shed Hospital,Hospital,6.1947913,-2.3273295,14.8,0.53,4.242428941218365
Abofour,7.1349599,-1.7318724,328.0,4402.0,WorldPop_2020,village/town/hamlet,Nkwankwaa Health Centre,Clinic,7.2179158,-1.79409,11.5,0.92,39.28569926207746
Abofrem,6.5183348,-2.3432926,164.0,920.0,WorldPop_2020,village/town/hamlet,Bibiani Government Hospital,Hospital,6.4564802,-2.3230746,7.23,0.63,40.34255895179089
Abofu,5.6167842,-0.2246882,28.0,63960.0,WorldPop_2020,suburb,Midway Clinic Ltd.,Doctor,5.6174757,-0.2262614,0.19,0.81,69.28141676908031
Aboi-Nkwanta,5.7697458,-2.4893607,79.0,122.0,WorldPop_2020,village/town/hamlet,Wassa Dunkwa Government Hospital,Hospital,5.774364,-2.5208175,3.52,0.68,45.592849713387984
Abokobi,5.7327601,-0.2059142,80.0,6750.0,WorldPop_2020,village/town/hamlet,Abokobi Pharmacy,Pharmacy,5.7317627,-0.2049847,0.15,0.82,58.38289513111429
Abokyea,5.7726347,-2.744447,93.0,816.0,WorldPop_2020,village/town/hamlet,Unnamed Pharmacy,Pharmacy,5.7719154,-2.7441694,0.09,0.61,53.64445061014138
Abokyi,5.4922171,-1.27049,142.0,616.0,WorldPop_2020,village/town/hamlet,Ankaako CHPS Compound,Clinic,5.3891941,-1.4548716,23.41,0.81,120.44097009607778
Abokyi,5.935536,-0.5820769,133.0,253.0,WorldPop_2020,village/town/hamlet,Odumkyere Darmang Health Centre,Clinic,5.8688274,-0.5422364,8.63,0.63,33.15330192624966
Abokyi,6.4341241,-0.7433099,198.0,240.0,WorldPop_2020,village/town/hamlet,Unnamed Pharmacy,Pharmacy,6.477494,-0.6567451,10.71,0.33,41.661962275682995
Abokyikrom,6.6084811,-2.0793552,173.0,1360.0,WorldPop_2020,village/town/hamlet,Nyinahin Hospital,Hospital,6.6008109,-2.1097935,3.47,0.53,65.06453130398201
Abokyikurom,5.8451119,-0.4960813,135.0,489.0,WorldPop_2020,village/town/hamlet,Annat Medical Diagnostics Centre,Doctor,5.8014438,-0.4914678,4.88,0.81,39.928146080866995
