Village,Latitude,Longitude,Population,Place_Type,Hub_ID,Dist_hub_km,Covered,Operateur
Kaawonsere,5.3612587,-1.1129204,824.0,village/town/hamlet,1,18.51,True,MASA
Kabalima,8.9548992,-2.2596626,422.0,village/town/hamlet,-1,-1.0,False,Aucun
Kabaso,7.6389045,-1.7014781,512.0,isolated_dwelling,12,24.02,True,MASA
Kabeso,8.2566847,-0.2865907,1231.0,village/town/hamlet,30,59.25,True,Zipline
Kabeyi,7.7415092,-1.4482051,113.0,isolated_dwelling,21,13.14,True,MASA
Kabile,7.9621275,-2.6518016,4758.0,village/town/hamlet,-1,-1.0,False,Aucun
Kabiliya,8.8197872,0.0617331,589.0,village/town/hamlet,-1,-1.0,False,Aucun
Kabilpe,8.8872296,-1.4231069,338.0,village/town/hamlet,24,27.88,True,MASA
Kablenu,5.7934159,0.4574776,924.0,village/town/hamlet,-1,-1.0,False,Aucun
Kabo,6.3678974,-0.0997245,308.0,village/town/hamlet,29,31.93,True,Zipline
Kaboanya,7.7046471,-0.2013427,521.0,village/town/hamlet,30,23.26,True,Zipline
Kabonfri,8.1248949,0.1823473,345.0,village/town/hamlet,30,42.2,True,Zipline
Kabore,6.5998622,0.4586823,17601.0,suburb,29,34.98,True,Zipline
Kabre,7.4829155,-1.064432,109.0,village/town/hamlet,26,59.36,True,Zipline
Kabre Akura,8.2312621,0.0846505,205.0,village/town/hamlet,30,49.34,True,Zipline
Kabre Jato,7.6339279,-1.3281226,176.0,village/town/hamlet,21,15.85,True,MASA
Kabrekurah,8.5712107,-0.1553531,860.0,village/town/hamlet,-1,-1.0,False,Aucun
Kabreso,6.0295011,-0.6750872,1664.0,village/town/hamlet,25,31.8,True,Zipline
Kabri,7.9204942,-2.7505066,417.0,village/town/hamlet,-1,-1.0,False,Aucun
Kachanki,8.3348681,-0.2120693,385.0,village/town/hamlet,30,63.6,True,Zipline
Kachirashe,9.2958034,-1.0243893,326.0,village/town/hamlet,0,25.03,True,MASA
Kade,6.1000242,-0.8382619,30233.0,village/town/hamlet,25,44.82,True,Zipline
Kadelso,8.6611349,-1.5199059,1209.0,village/town/hamlet,24,0.6,True,MASA
Kadia,9.9059076,-0.8558748,1539.0,village/town/hamlet,27,49.38,True,Zipline
Kadjebi,7.525931,0.476103,6730.0,village/town/hamlet,30,61.77,True,Zipline
Kaduawaso,6.4197285,-0.77452,142.0,village/town/hamlet,25,43.58,True,Zipline
Kaebre,6.4122037,-2.18177,542.0,village/town/hamlet,28,42.13,True,Zipline
Kafaba,8.4604472,-0.7731689,1138.0,village/town/hamlet,-1,-1.0,False,Aucun
Kafodzidzi,5.0382333,-1.5532296,1274.0,village/town/hamlet,3,21.2,True,MASA
Kafrobon,8.1874436,-0.0511942,84.0,isolated_dwelling,30,43.5,True,Zipline
Kaiyong,9.3309911,-0.3315932,563.0,village/town/hamlet,-1,-1.0,False,Aucun
Kajaji,7.7842006,-0.2280437,3580.0,village/town/hamlet,30,23.8,True,Zipline
Kajelo,10.9347121,-1.1240686,1962.0,village/town/hamlet,27,74.15,True,Zipline
Kakali,10.3088235,0.118162,220.0,village/town/hamlet,22,10.58,True,MASA
Kakama,6.2148898,-0.1662245,220.0,village/town/hamlet,25,30.98,True,Zipline
Kakasunaka No.1,5.7416551,-0.013969,10759.0,suburb,25,70.09,True,Zipline
Kakatire,6.3680739,-2.1754756,358.0,village/town/hamlet,28,39.93,True,Zipline
Kakiasi,9.2203871,-2.4623547,1186.0,village/town/hamlet,-1,-1.0,False,Aucun
Kaklakokope,6.96883,-0.041931,259.0,village/town/hamlet,29,57.99,True,Zipline
Kakoase,5.9484812,-0.8077029,1374.0,village/town/hamlet,25,48.96,True,Zipline
Kakpagayili,9.3756847,-0.8544422,10737.0,suburb,0,4.47,True,MASA
Kakpanjag,9.383151,0.2750916,480.0,village/town/hamlet,-1,-1.0,False,Aucun
Kakpeni,8.3265794,-0.2250923,772.0,village/town/hamlet,30,63.25,True,Zipline
Kakraba Down,5.5053467,-0.4068649,16940.0,suburb,4,29.77,True,MASA
Kakraka,5.7349832,-0.6811872,414.0,village/town/hamlet,25,58.14,True,Zipline
Kakraka,8.1672339,-0.1391959,794.0,village/town/hamlet,30,43.35,True,Zipline
Kakraka Akura,7.8266712,-0.5318928,321.0,village/town/hamlet,30,57.31,True,Zipline
Kakrakrom,5.5931492,-1.5083604,286.0,village/town/hamlet,10,11.7,True,MASA
Kakrakrom,7.3093735,-2.1809685,571.0,village/town/hamlet,5,19.35,True,MASA
Kakumdo,5.1453006,-1.2833562,17678.0,suburb,1,26.0,True,MASA
Kakyireakuraa,6.6333702,-0.4840717,259.0,village/town/hamlet,25,48.07,True,Zipline
Kalba,9.552441,-2.6623915,1794.0,village/town/hamlet,-1,-1.0,False,Aucun
Kalegu,8.9269913,-0.2122804,947.0,village/town/hamlet,-1,-1.0,False,Aucun
Kaleo,10.173794,-2.540655,2782.0,village/town/hamlet,7,13.55,True,MASA
Kalim Donker,6.4884856,-2.9442244,87.0,village/town/hamlet,28,61.18,True,Zipline
Kalinkaa,9.3058049,-1.0691111,276.0,village/town/hamlet,0,29.25,True,MASA
Kalongo,6.4458543,-2.3612839,382.0,village/town/hamlet,28,32.35,True,Zipline
Kalpohin,9.419895,-0.8281979,13721.0,suburb,0,4.27,True,MASA
Kalpohin Estates,9.4185675,-0.8225181,11799.0,neighbourhood,0,3.95,True,MASA
Kaluri,10.1911717,-2.5672969,368.0,village/town/hamlet,7,15.79,True,MASA
Kama,6.2910039,-2.7130026,403.0,village/town/hamlet,28,28.02,True,Zipline
Kamalo,6.9091514,0.0498274,734.0,village/town/hamlet,29,48.4,True,Zipline
Kambago,10.5575527,0.053097,1455.0,village/town/hamlet,-1,-1.0,False,Aucun
Kambali,10.05891,-2.5187659,7421.0,suburb,7,2.35,True,MASA
Kambatiak,10.6016711,0.0041494,1931.0,village/town/hamlet,-1,-1.0,False,Aucun
Kamfensi,9.1389266,-2.4838697,468.0,village/town/hamlet,-1,-1.0,False,Aucun
